Eastern Conference,W,L,W/L%,SOS,rSOS,SRS,Target,RR,R1,R2
Boston Celtics,58.5,21.5,0.731,3.28,-0.46,16.72,yes,84.011,24.049,Boston Celtics
Philadelphia 76ers,53.1,26.9,0.664,-0.06,0.13,11.19,no,80.604,26.176,Philadelphia 76ers
New York Knicks,44.7,35.3,0.559,0.84,0.39,5.22,yes,81.399,35.581,New York Knicks
Atlanta Hawks,43.8,36.2,0.547,0.13,0.39,3.46,no,80.677,35.783,Atlanta Hawks
Indiana Pacers,43.3,36.7,0.541,-1.91,0.61,2.54,yes,78.631,34.249,Indiana Pacers
Orlando Magic,42.4,37.6,0.53,-1.83,0.42,2.17,yes,78.7,35.24,Orlando Magic
Toronto Raptors,41.5,38.5,0.518,3.66,0.26,2.1,no,84.178,41.642,Toronto Raptors
Brooklyn Nets,41.4,38.6,0.517,3.01,0.37,2.01,yes,83.527,41.093,Brooklyn Nets
Cleveland Cavaliers,40.1,39.9,0.501,2.62,0.07,0.4,no,83.121,42.019,Cleveland Cavaliers
Miami Heat,39.5,40.5,0.494,0.68,0.3,-0.77,yes,81.174,40.686,Miami Heat
Milwaukee Bucks,39.2,40.8,0.491,2.55,0.28,-1.11,no,83.041,42.859,Milwaukee Bucks
Chicago Bulls,33.3,46.7,0.416,0.43,0.6,-4.57,yes,80.846,46.714,Chicago Bulls
Charlotte Hornets,33.1,46.9,0.413,-0.3,0.87,-5.43,yes,80.113,46.187,Charlotte Hornets
Washington Wizards,31.9,48.1,0.399,1.58,0.64,-5.92,no,81.979,49.281,Washington Wizards
Detroit Pistons,31.1,48.9,0.389,-1.15,0.82,-4.95,yes,79.239,47.361,Detroit Pistons
